time,ws_mb,priv_mb,handles,threads,gdi,user,winui_tot_vis
14:43:16,658.9,521.6,2841,68,135,171,122708
14:43:21,677.6,540.8,2969,72,135,177,122808
14:43:26,719.2,587.7,3026,71,135,173,122708
14:43:31,719.1,587.2,2984,64,135,168,122708
14:43:36,718.8,587.2,2972,62,135,166,122708
14:43:41,719,587.3,2978,63,135,168,122708
14:43:46,720,588.2,2964,60,135,165,122708
14:43:51,760.7,627.1,3112,63,135,167,122708
14:43:56,810.4,679.2,3349,63,135,166,122708
14:44:01,862.3,734.5,3583,64,135,168,122708
14:44:06,889.4,763.4,3635,63,135,166,122708
14:44:11,889.4,763.5,3637,64,135,168,122708
14:44:16,907,781.3,3767,63,135,167,122708
14:44:21,909.5,787.5,3748,63,135,169,122708
14:44:26,910.7,788.5,3783,61,135,166,122708
14:44:31,912.9,790.7,3827,62,135,168,122708
14:44:36,914.7,788.5,3718,63,135,166,122708
14:44:41,914.3,788.1,3642,63,135,168,122708
14:44:46,914.7,788.6,3641,63,135,166,122708
14:44:51,914.7,788.5,3636,62,135,167,122708
14:44:56,914.7,788.5,3627,61,135,166,122708
14:45:01,914.9,788.7,3633,61,135,166,122708
14:45:06,914.9,788.7,3631,60,135,165,122708
14:45:11,914.9,788.7,3629,60,135,165,122708
14:45:16,915.5,789.6,3633,61,135,165,122708
14:45:21,915.5,789.5,3633,60,135,165,122708
14:45:26,915.5,789.5,3630,60,135,165,122708
14:45:31,915.5,789.5,3627,59,135,165,122708
14:45:36,915.5,789.5,3625,59,135,165,122708
14:45:41,915.7,789.8,3634,65,135,165,122708
14:45:46,915.5,790.4,3618,63,134,162,122708
14:45:51,915.5,790.4,3612,62,134,162,122708
14:45:56,915.5,790.4,3613,62,134,162,122708
14:46:01,915.5,790.4,3618,63,134,162,122708
14:46:06,915.5,790.4,3607,62,134,162,122708
14:46:11,915.8,790.4,3613,62,134,162,122708
14:46:16,915.8,790.4,3611,62,134,162,122708
14:46:21,915.8,790.4,3612,63,134,162,122708
14:46:26,915.8,790.4,3618,62,134,162,122708
14:46:31,915.8,790.4,3618,62,134,162,122708
14:46:36,915.8,790.4,3612,62,134,162,122708
14:46:41,915.8,790.4,3612,62,134,162,122708
14:46:46,915.8,790.4,3614,62,134,162,122708
14:46:52,915.6,790,3582,55,134,158,122708
14:46:57,915.6,790,3579,54,134,158,122708
14:47:02,915.6,790,3579,54,134,158,122708
14:47:07,915.6,790,3585,54,134,159,122708
14:47:12,915.6,790,3581,55,134,159,122708
14:47:17,915.6,790,3586,55,134,159,122708
14:47:22,915.6,790,3584,55,134,159,122708
14:47:27,915.6,790,3581,54,134,159,122708
14:47:32,915.7,790,3586,55,134,159,122708
14:47:37,932.9,808,3786,62,134,164,122708
14:47:42,933.2,808.4,3726,61,134,164,122708
14:47:47,934.2,809.3,3737,62,134,164,122708
14:47:52,934.2,809.3,3733,61,134,164,122708
14:47:57,934.1,809.2,3732,60,134,163,122708
14:48:02,934.1,809.2,3726,60,134,163,122708
14:48:07,934.1,809.2,3726,60,134,163,122708
14:48:12,934.1,809.2,3726,60,134,163,122708
14:48:17,934.3,810.2,3746,62,134,165,122708
14:48:22,934.6,810.1,3735,61,134,165,122708
14:48:27,934.6,810.1,3733,60,134,164,122708
14:48:32,934.6,810.1,3731,60,134,164,122708
14:48:37,934.5,810,3725,59,134,163,122708
14:48:42,934.5,810,3733,59,134,163,122708
14:48:47,934.7,810.1,3733,60,134,163,122708
14:48:52,934.7,810,3731,59,134,163,122708
14:48:57,934.7,810,3721,59,134,163,122708
14:49:02,934.7,810,3728,59,134,163,122708
14:49:07,934.6,809.9,3711,54,134,160,122708
14:49:12,934.6,809.9,3711,54,134,160,122708
14:49:17,934.7,809.9,3710,55,134,160,122708
14:49:22,934.7,809.9,3715,54,134,160,122708
14:49:27,934.7,809.9,3713,54,134,160,122708
14:49:32,934.7,809.9,3711,54,134,160,122708
14:49:37,934.7,809.9,3706,54,134,160,122708
14:49:42,934.7,809.9,3713,54,134,160,122708
14:49:47,934.8,809.9,3710,55,134,160,122708
14:49:52,934.7,809.9,3712,54,134,160,122708
14:49:57,934.7,809.9,3711,54,134,160,122708
14:50:02,934.7,809.9,3732,55,134,162,122708
14:50:07,968.7,845.2,3902,63,134,164,122708
14:50:12,1021.9,902.4,4132,63,134,164,122708
14:50:17,1034.1,914.8,4176,63,134,164,122708
14:50:22,1034.2,914.9,4178,62,134,164,122708
14:50:27,1034.2,914.9,4173,61,134,164,122708
14:50:32,1034.7,915.4,4173,61,134,164,122708
14:50:37,1034.7,915.4,4173,59,134,163,122708
14:50:42,1035.2,915.9,4169,60,134,163,122708
14:50:47,1035.8,917,4174,61,134,163,122708
14:50:52,1055.2,937.2,4277,61,134,163,122708
14:50:57,1080.4,965,4322,63,134,164,122708
14:51:02,1084.4,969,4313,62,134,165,122708
14:51:07,1083.4,968.4,4311,62,134,165,122708
14:51:12,1083.4,968.4,4311,62,134,165,122708
14:51:17,1083.4,968.4,4312,62,134,164,122708
14:51:23,1082.9,968.3,4303,60,134,163,122708
14:51:28,1082.9,968.3,4303,60,134,163,122708
14:51:33,1083,968.3,4303,60,134,163,122708
14:51:38,1083,968.3,4303,60,134,163,122708
14:51:43,1083,968.5,4303,60,134,163,122708
14:51:48,1084.1,969.5,4303,60,134,163,122708
14:51:53,1084.3,969.7,4303,60,134,163,122708
14:51:58,1084.4,969.8,4303,60,134,163,122708
14:52:03,1084.9,970,4308,61,134,163,122708
14:52:08,1085,970,4303,60,134,163,122708
14:52:13,1085.2,970.2,4303,60,134,163,122708
14:52:18,1085.4,970.4,4310,61,134,164,122708
14:52:23,1085.2,970.6,4310,61,134,164,122708
14:52:28,1085.1,970.4,4286,54,134,160,122708
14:52:33,1085.3,970.6,4286,54,134,160,122708
14:52:38,1085.4,970.6,4282,53,134,159,122708
14:52:43,1085.5,970.8,4282,53,134,159,122708
14:52:48,1085.7,970.9,4287,54,134,159,122708
14:52:53,1085.7,970.9,4282,53,134,159,122708
14:52:58,1085.7,970.9,4282,53,134,159,122708
14:53:03,1086,970.9,4282,53,134,159,122708
14:53:08,1086,970.9,4282,53,134,159,122708
14:53:13,1086,970.8,4278,52,134,159,122708
exited,14:53:18
